cust_id,cust_contact,cust_email,cust_dob,cust_gender,cust_fname,cust_lname,cust_city,cust_postcode,cust_address,cust_active,cust_referral_id,cust_type,cust_date_created
qkbc91bj561,07710978055,lsmith@example.com,1990-08-01,O,Michael,Stevenson,Newcastle,NE15 6US,"Flat 28
Denis unions",False,wglx96fj330,Premium,2022-12-07
ljfo40vn215,07579498101,foxstewart@example.net,1968-06-23,O,Abigail,Palmer,Stockton-on-Tees,TS23 1BY,386 Amanda terrace,True,yclp85ad695,Regular,2023-11-29
fpsq33or116,07424311930,rhysbrown@example.net,1984-09-10,O,Martyn,James,East Riding of Yorkshire,DN14 9WL,41 Alison hill,True,xikc18dy769,Regular,2022-05-18
pegk82sb010,07464189002,tporter@example.net,1966-09-24,F,Rachel,Brady,Rushcliffe,NG12 5DF,"Flat 06W
Jasmine canyon",True,nzgm59bl587,Regular,2022-10-30
iknd18xm842,07316299513,kathryn36@example.net,1996-11-21,O,Simon,Freeman,Test Valley,SO51 1HB,021 Denise row,False,yclp85ad695,Regular,2021-05-28
tkpw04jb846,07379183872,marilynowen@example.net,1973-04-12,M,Tony,Miles,Braintree,CM7 2ZB,"Studio 5
Oliver row",True,korx32es976,Regular,2021-07-26
gihd07uq210,07795321478,oliviatucker@example.com,1990-04-11,F,Lesley,Williams,Blackpool,FY1 3NE,12 Stacey underpass,True,ormw26jh773,Regular,2023-10-13
jzox33pt846,07063679260,megan96@example.com,2002-06-20,M,Luke,Hooper,Burnley,BB11 5DH,789 Ann port,True,vqjd84nx309,Regular,2021-08-30
wglx96fj330,07808389502,paulbegum@example.net,2005-07-11,F,Janice,Holmes,Medway,ME5 7FL,548 Williams port,True,,Regular,2022-01-27
rkge30jc866,07181326531,cpritchard@example.org,2003-07-30,O,Elaine,Cooper,South Derbyshire,DE11 9SF,615 Kaur centers,True,,Regular,2024-02-05
ucqd20dx502,07632379645,jamesyvonne@example.com,2003-04-28,M,Hayley,Payne,Nottingham,NG2 5NR,21 Sarah path,False,krhb93ai768,Premium,2021-08-29
jaod01gt269,07244653336,kwest@example.net,1978-01-16,F,Rosemary,Garner,Torridge,EX39 4JP,83 Elliott corners,True,wglx96fj330,Premium,2019-03-22
faso98ij803,07264320559,mporter@example.net,1989-12-27,M,Melanie,Miller,Daventry,NN3 5QS,1 Knight road,True,msit86sd799,Premium,2019-03-21
mkdf99dr289,07043720283,charltonelliot@example.com,1994-09-07,M,Tom,Quinn,Huntingdonshire,PE28 9AP,"Studio 5
Yates trail",False,tomw58ec332,Premium,2022-04-19
bjgd27ii209,07576382278,bradley52@example.org,1996-11-21,F,Abbie,Boyle,Coventry,CV6 3XT,18 Khan junctions,False,pghk17cd042,Premium,2020-03-31
rnoj77oh349,07920906203,george45@example.com,1998-02-04,F,Joyce,Arnold,Leeds,LS9 9XP,69 Susan mountain,False,bjgd27ii209,Premium,2022-05-20
mgdx98lu616,07963706881,taylorfiona@example.org,2000-05-03,M,Alice,Barker,Preston,PR2 5WD,"Flat 59
Sian ports",True,,Premium,2022-03-15
awnl93gw081,07470570722,qlowe@example.com,1995-06-16,F,Mary,Harris,Edinburgh,EH12 5PQ,131 Helen mill,False,,Premium,2023-06-06
xpnj35im610,07957501390,lynnegeorge@example.org,1984-07-14,F,Paige,Cartwright,Leeds,LS15 4UU,499 Christopher park,True,tomw58ec332,Regular,2023-04-09
ueac94fb692,07164315357,ogreen@example.com,1971-11-21,M,Martyn,Davis,South Holland,PE12 8AR,2 Lindsey neck,False,pghk17cd042,Premium,2022-04-21
nzgm59bl587,07868336177,othompson@example.org,1985-04-27,M,Brenda,Scott,Leeds,LS17 6XF,6 Kim canyon,True,korx32es976,Regular,2023-11-30
msit86sd799,07073033498,sbirch@example.org,1984-02-01,F,Ian,Simpson,Islington,N7 9GE,8 Gavin cliff,True,,Premium,2020-07-07
xrmi24eu289,07217966200,ujones@example.com,2000-04-04,M,Steven,Lewis,Doncaster,DN4 0HE,036 Garner branch,True,gkab56dt596,Regular,2020-07-13
ynta91pg464,07117911365,kellygary@example.net,2000-08-09,F,Nicholas,Evans,Broxtowe,NG16 1JF,"Studio 64
Jennifer squares",True,cbks56ex501,Regular,2019-05-06
vqjd84nx309,07409897885,gemma76@example.net,2000-12-09,M,Julian,Dodd,Enfield,N11 3TR,31 Gillian burgs,False,,Regular,2022-07-19
gkab56dt596,07154040065,ufowler@example.org,1991-06-10,F,Roy,Short,Luton,LU3 9ND,"Studio 1
Clayton ridge",False,ueac94fb692,Regular,2021-04-10
uhkk86wl165,07079523289,marcusdawson@example.org,1985-12-16,M,Robin,Clements,Belfast,BT12 6BE,"Flat 26J
Walker pine",True,nzgm59bl587,Regular,2020-02-03
ikzx52ui551,07924772342,bethanyrussell@example.org,1995-05-01,F,Henry,Young,Carrickfergus,BT38 0ZH,15 Joanna orchard,False,rkge30jc866,Regular,2020-05-19
htdh42io696,07132147750,jayne93@example.net,1992-03-22,F,Jemma,Lee,Cheshire West and Chester,CH2 3PT,"Studio 69C
Evans neck",False,,Premium,2020-11-23
ahlk24vu240,07235300429,lpotter@example.net,1988-09-12,F,Leah,Brown,South Ribble,PR5 4DY,5 Louis inlet,True,tkpw04jb846,Regular,2021-10-05
pghk17cd042,07074591645,zhill@example.com,1987-07-24,F,Guy,Khan,Blackburn with Darwen,BB2 3ES,"Studio 6
Bird burg",False,ezjr14hu791,Regular,2021-07-13
zxls47rf746,07656553847,brett79@example.net,1980-04-28,F,Abbie,Roberts,Lambeth,SW16 5JA,9 Martin plaza,True,,Premium,2023-02-22
crsw11jq264,07300452997,emma71@example.org,1962-10-13,M,Shannon,Watson,Bath and North East Somerset,BA1 1FJ,"Studio 0
Taylor brook",False,euqm90ct778,Premium,2021-05-21
iiyk27fi635,07463028426,ljones@example.org,1972-12-27,O,Clive,Wong,Ashfield,NG17 1PP,391 Derek manors,True,tbkl20yp323,Regular,2021-02-10
koxd31vc466,07494051955,geraldineclark@example.net,1992-09-17,O,Paige,Shepherd,South Kesteven,NG31 7DU,"Flat 34
Harris drive",True,wglx96fj330,Premium,2021-10-05
