shipment_id,order_id,cust_id,shipment_date,shipment_company,shipment_address,shipment_postcode,shipment_city,shipment_status
ojy0267616404,54153815,krhb93ai768,2023-03-22,Carter Group,"Flat 41
Rebecca passage",SY11 1BX,Shropshire,Delivered
pex9253805660,14742018,xrmi24eu289,2023-04-28,Davis LLC,036 Garner branch,DN4 0HE,Doncaster,Pending
pbk2781817857,52886680,xrmi24eu289,2021-06-13,Andrews-Clements,036 Garner branch,DN4 0HE,Doncaster,Delivered
zdk8273726480,81665141,cjum45cw955,2020-01-26,"Barker, Moore and Martin","Studio 9
Peters unions",EX14 4TJ,Exeter,Pending
tpt3712691367,93013736,uhkk86wl165,2020-07-25,"James, Rice and Ward","Flat 26J
Walker pine",BT12 6BE,Belfast,Delivered
bqs8117663251,93163681,mgdx98lu616,2020-02-23,Knight Ltd,"Flat 59
Sian ports",PR2 5WD,Preston,Cancelled
xex3512386040,56996609,zhac02rd895,2024-01-17,Davey-Butler,"Studio 38
Abigail terrace",AL5 3nan,St Albans,In Transit
eyw9691688809,80856775,uztn96tq233,2023-04-05,Lewis PLC,"Studio 08
Sian stravenue",OL9 7AS,Oldham,Delivered
lty1316999065,66283305,mnxk50yg461,2024-02-26,Sims-Day,"Studio 56
Holmes mountain",SK15 1WR,Tameside,In Transit
spl0784570404,77608190,jaod01gt269,2023-01-24,"Byrne, Bradley and Ward",83 Elliott corners,EX39 4JP,Torridge,In Transit
gik4381337610,32826333,sahs22dc031,2023-06-13,Moss Group,"Studio 34a
Savage route",BN15 5UN,Worthing,Delivered
eti1268837733,19710422,gkab56dt596,2021-08-25,Fowler and Sons,"Studio 1
Clayton ridge",LU3 9ND,Luton,Delivered
rez9064488489,56586401,zhac02rd895,2021-12-05,"Khan, Phillips and Williams","Studio 38
Abigail terrace",AL5 3nan,St Albans,Pending
vxe4856191712,33290807,unkz46ug554,2019-01-22,North Inc,49 Turner ports,KA19 7JF,South Ayrshire,In Transit
thj6462484908,22838962,htdh42io696,2020-01-06,Cartwright-Baker,"Studio 69C
Evans neck",CH2 3PT,Cheshire West and Chester,Delivered
cvk7360349419,70659976,tbkl20yp323,2021-08-13,"Carroll, Rees and Lambert","Flat 38Q
Ward rest",HU11 5BD,East Riding of Yorkshire,Pending
aej9415022655,17183641,unkz46ug554,2023-01-18,"Gough, Bowen and Hyde",49 Turner ports,KA19 7JF,South Ayrshire,Pending
vjd5560519959,67844399,tkpw04jb846,2023-02-04,Gibson Ltd,"Studio 5
Oliver row",CM7 2ZB,Braintree,Delivered
uvr1987276784,69550589,tkpw04jb846,2023-02-17,Pearson-Williams,"Studio 5
Oliver row",CM7 2ZB,Braintree,Delivered
yun7365076294,54340867,krhb93ai768,2021-07-22,"Davies, Martin and Barrett","Flat 41
Rebecca passage",SY11 1BX,Shropshire,Cancelled
oeg1329607545,40779350,vqjd84nx309,2021-04-01,Chapman Group,31 Gillian burgs,N11 3TR,Enfield,In Transit
sel0054693639,37490279,bofq23xp782,2022-06-08,Kaur-Myers,"Flat 20A
Richards fall",SY7 8GN,Shropshire,Delivered
yml1490645625,44953245,mgdx98lu616,2024-02-22,Allen-Johnson,"Flat 59
Sian ports",PR2 5WD,Preston,Cancelled
pmg1865451927,43276631,htdh42io696,2022-07-05,Adams Ltd,"Studio 69C
Evans neck",CH2 3PT,Cheshire West and Chester,In Transit
fiv7209250432,41969076,zhac02rd895,2023-04-29,Smith-Berry,"Studio 38
Abigail terrace",AL5 3nan,St Albans,Cancelled
hga5791995005,54115579,zndx79dv595,2020-12-31,Johnson Group,30 Abigail shoals,UB3 1BU,Hillingdon,Delivered
orm7695499903,65751989,knqn03cl323,2019-02-20,Akhtar-Higgins,"Flat 13f
Thomas loaf",HP19 9TY,Aylesbury Vale,Delivered
pxd8087080012,53243155,ormw26jh773,2020-06-01,Ellis-Wilson,"Flat 7
Phillips fields",BS9 4WZ,Bristol,Pending
ked7816287257,86933674,krhb93ai768,2022-11-14,"Henderson, Edwards and Willis","Flat 41
Rebecca passage",SY11 1BX,Shropshire,Cancelled
kjq0769107911,54565381,iiyk27fi635,2023-09-26,Harrison Inc,391 Derek manors,NG17 1PP,Ashfield,Pending
xaf7290106551,20661283,msit86sd799,2020-09-20,"Smith, Begum and Nelson",8 Gavin cliff,N7 9GE,Islington,Cancelled
